coresetTechnique coresetSize k avgRelErrOfCostOnFullData stdDevRelErrOfCostOnFullData avgDiffOfFairnessOnFullData stdDevDiffOfFairnessOnFullData avgFairnessOnCoreset stdFairnessOnCoreset fairnessOnFullData avgTimeOnCoreset timeOnFullData
IndFair 5.0 10 5.027176242501918 1.771788855544629 0.4285565658752818 0.4276568483989448 1.4607219141212417 0.4481184163372173 1.0536089137432665 864627.0 412356910.0
IndFair 7.0 10 4.192595492805035 2.9079935831552453 0.5678349144992169 0.46363472989365195 1.6214438282424832 0.46363472989365195 1.0536089137432665 1806705.4 412356910.0
IndFair 10.0 10 2.9296997797123128 2.3611796535104506 0.18976468585037284 0.37831437056450135 1.2424014506311174 0.3788004448082855 1.0536089137432665 3832518.4 412356910.0
Uni 2.0 15 13.339200300942798 9.259847509899853 0.13333333333333336 0.2666666666666667 1.8666666666666667 0.2666666666666667 2.0 337097.8 930573163.0
Uni 5.0 15 7.036258337903756 2.1514806964404687 0.0 0.0 2.0 0.0 2.0 1881154.0 930573163.0
Uni 7.0 15 2.551340917091849 1.9242329369760451 0.6 0.48989794855663565 1.4 0.4898979485566356 2.0 3916164.8 930573163.0
Uni 10.0 15 2.1221514770179484 1.1976919546974636 0.5 0.4472135954999579 1.5 0.4472135954999579 2.0 6998408.4 930573163.0
KMedian 2.0 15 5.534724513553185 3.2668286259799295 0.2 0.4 1.8 0.4 2.0 384255.2 930573163.0
KMedian 5.0 15 3.548950652443973 2.6879543566347355 0.0 0.0 2.0 0.0 2.0 2220049.0 930573163.0
KMedian 7.0 15 1.809619657769641 1.1905797085967909 0.0 0.0 2.0 0.0 2.0 3826326.0 930573163.0
KMedian 10.0 15 3.4184017867760885 2.381152917488828 0.4 0.48989794855663565 1.6 0.4898979485566356 2.0 8207357.8 930573163.0
IndFair 2.0 15 7.696802646274295 3.113207906588642 0.2 0.4000000000000001 1.8 0.4000000000000001 2.0 321121.2 930573163.0
IndFair 5.0 15 4.632178626931367 2.225464937695571 0.4 0.48989794855663565 1.6 0.4898979485566356 2.0 2126924.6 930573163.0
IndFair 7.0 15 4.279160607408256 2.7626489388436255 0.2 0.4000000000000001 1.8 0.4 2.0 4102044.4 930573163.0
IndFair 10.0 15 1.8356045461707597 1.252953028418414 0.3 0.39999999999999997 1.7 0.4 2.0 9362509.2 930573163.0
